City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Malavalli,12.3833,77.0833,overcast clouds,67.84,94,100,3.33,IN
1,Saint-Philippe,-21.3585,55.7679,clear sky,65.79,77,10,6.96,RE
2,Mataura,-46.1927,168.8643,broken clouds,47.48,45,81,10.58,NZ
3,Butaritari,3.0707,172.7902,broken clouds,82.38,70,82,18.79,KI
4,Turayf,31.6725,38.6637,clear sky,68.25,52,0,6.91,SA
5,Ayan,56.45,138.1667,scattered clouds,39.07,52,48,19.77,RU
6,Bengkulu,-3.8004,102.2655,broken clouds,77.22,86,81,1.41,ID
7,Sao Joao Da Barra,-21.6403,-41.0511,overcast clouds,73.49,87,100,3.47,BR
8,Hillsborough,37.5741,-122.3794,few clouds,72.72,68,20,12.66,US
9,East London,-33.0153,27.9116,broken clouds,66.33,89,68,4.36,ZA
10,Kyshtovka,56.555,76.6271,clear sky,27.36,75,5,4.05,RU
11,Inuvik,68.3499,-133.7218,light snow,27.46,93,100,6.91,CA
12,Pokosnoye,55.5258,101.0536,overcast clouds,27.7,81,100,9.31,RU
13,Kavaratti,10.5669,72.642,overcast clouds,80.38,78,100,13.58,IN
14,Minden,52.2833,8.9167,few clouds,52.47,93,14,6.91,DE
15,Esperance,-33.8667,121.9,overcast clouds,55.81,80,90,18.79,AU
16,Trebisacce,39.8708,16.5312,scattered clouds,68.36,79,37,8.08,IT
17,Rikitea,-23.1203,-134.9692,overcast clouds,74.68,64,95,5.03,PF
18,Dunedin,-45.8742,170.5036,scattered clouds,50.2,60,40,19.53,NZ
19,Busselton,-33.65,115.3333,overcast clouds,57.27,51,100,13.73,AU
20,Ribeira Grande,38.5167,-28.7,scattered clouds,71.92,86,33,10.0,PT
21,Mackay,-21.15,149.2,light rain,72.68,71,67,14.67,AU
22,Dubrovka,53.6907,33.5071,overcast clouds,48.24,96,100,13.29,RU
23,Hamilton,39.1834,-84.5333,clear sky,62.44,70,0,11.5,US
24,Eyl,7.9803,49.8164,few clouds,76.42,77,17,15.17,SO
25,Norman Wells,65.282,-126.8329,broken clouds,35.64,87,75,0.0,CA
26,Bambous Virieux,-20.3428,57.7575,scattered clouds,70.05,78,40,14.97,MU
27,Scarborough,54.2797,-0.4044,broken clouds,51.33,86,52,4.38,GB
28,Touros,-5.1989,-35.4608,clear sky,76.42,75,8,13.94,BR
29,Sabang,5.8933,95.3214,few clouds,81.64,76,18,21.07,ID
30,Punta Arenas,-53.15,-70.9167,clear sky,42.91,70,0,9.22,CL
31,Barrow,71.2906,-156.7887,haze,28.42,74,75,14.97,US
32,Butembo,0.15,29.2833,overcast clouds,55.72,99,100,2.64,CD
33,Hovd,48.0056,91.6419,clear sky,23.52,41,1,3.06,MN
34,Zhangye,38.9342,100.4517,overcast clouds,45.5,16,95,6.69,CN
35,Aklavik,68.2191,-135.0107,light snow,29.14,96,100,4.56,CA
36,Kapaa,22.0752,-159.319,light rain,80.92,79,100,14.97,US
37,Lompoc,34.6391,-120.4579,clear sky,71.74,72,0,14.97,US
38,Ushuaia,-54.8,-68.3,clear sky,42.46,75,0,9.22,AR
39,Cayenne,4.9333,-52.3333,few clouds,78.84,89,20,2.3,GF
40,Hof,50.3167,11.9167,few clouds,48.92,89,20,10.36,DE
41,Puerto Ayora,-0.7393,-90.3518,broken clouds,64.54,94,76,5.01,EC
42,West Bay,19.3667,-81.4167,few clouds,84.27,66,20,8.05,KY
43,Dikson,73.5069,80.5464,overcast clouds,31.3,93,99,23.62,RU
44,Qui Nhon,13.7667,109.2333,overcast clouds,78.93,85,100,5.95,VN
45,Zyryanka,65.75,150.85,overcast clouds,28.83,72,100,3.67,RU
46,Kahului,20.8947,-156.47,broken clouds,84.22,79,75,20.71,US
47,Nieuw Nickerie,5.95,-56.9833,overcast clouds,80.89,82,96,9.71,SR
48,College,64.8569,-147.8028,light rain,45.59,87,100,1.01,US
49,Santarem,-2.4431,-54.7083,overcast clouds,79.47,66,98,1.81,BR
50,Hobart,-42.8794,147.3294,broken clouds,59.05,69,75,5.75,AU
